bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 0, 0.09706959706959706, 5.0
2, 1, 1, 1, 0.4148148148148148, 0.0
3, 1, 1, 1, 0.12511084690444416, 0.0
4, 0, 0, 0, 0.1, 9.0
5, 0, 0, 0, 0.16666666666666666, 5.0
6, 0, 0, 0, 0.013183890577507597, 52.0
7, 0, 0, 0, 0.1111111111111111, 8.0
8, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 0.8333333333333333, 0.0
10, 0, 0, 0, 0.011363636363636364, 87.0
12, 0, 0, 0, 0.019649161194646325, 121.0
13, 0, 0, 0, 0.02321603128054741, 68.0
14, 0, 1, 1, 0.5, 2.0
16, 0, 0, 0, 0.1111111111111111, 7.0
17, 0, 1, 1, 0.3333333333333333, 1.0
18, 0, 0, 1, 0.25, 3.0
19, 0, 0, 0, 0.006134969325153374, 162.0
20, 0, 0, 0, 0.008928571428571428, 109.0
21, 0, 0, 0, 0.045454545454545456, 21.0
22, 0, 0, 0, 0.015873015873015872, 50.0
23, 0, 1, 1, 0.3333333333333333, 2.0
24, 0, 0, 0, 0.011904761904761904, 85.0
25, 0, 0, 0, 0.16666666666666666, 7.0
26, 0, 0, 0, 0.019123046402397963, 14.0
27, 0, 0, 0, 0.0048543689320388345, 206.0
